date,SPY,QQQ,DIA,TLT,GLD,EFA,EEM,BND,VNQ
2007-12-06 00:00:00+00:00,110.9352816058,45.7408285483,94.777787649,59.4015704292,79.37,51.5209359548,38.8491360238,47.9484307659,35.02882373
2007-12-07 00:00:00+00:00,110.9132341927,45.7495710614,94.993698247,58.735791431,78.6,51.3182668779,38.3885596659,47.7922672994,34.9048461796
2007-12-10 00:00:00+00:00,111.7731391608,45.9331638366,95.6971489049,58.3836967684,80.0,51.8464347753,38.4005538419,47.7047532927,35.6538772135
2007-12-11 00:00:00+00:00,108.70834589,44.8665772382,93.6076915052,59.5296048519,78.84,50.4953075957,36.774143578,48.0233892299,33.7735510318
2007-12-12 00:00:00+00:00,109.781384916,45.2687328408,94.0255829851,58.9150396228,80.49,51.5086529804,37.8776077688,47.9296911499,33.6599049439
2007-12-13 00:00:00+00:00,109.5535486629,45.023942474,94.0255829851,58.2748675091,78.5,50.4584586726,36.8365132931,47.6860761421,33.2776408301
2007-12-14 00:00:00+00:00,108.1644690322,44.5605892796,92.9460299953,58.0059952214,78.52,49.0950485186,35.9585396108,47.5798849849,32.4407923646
2007-12-17 00:00:00+00:00,106.621053835,43.476517655,91.8873715795,58.5245346334,78.13,48.050995698,34.4256839196,47.7797742221,31.4386404986
2007-12-18 00:00:00+00:00,107.2163722068,43.6601104301,92.3191927754,58.9022361805,79.25,48.6528614416,35.3708249874,47.892211918,31.9242192378
2007-12-19 00:00:00+00:00,107.2163722068,43.6601104301,92.1241767514,59.6832461592,79.24,48.2536647749,35.6011131664,48.0921636205,32.2496603077
2007-12-20 00:00:00+00:00,107.8925364831,44.4993916879,92.4306305034,59.5552117365,78.67,48.597588057,35.7954188174,48.0983476938,32.1174175872
2007-12-21 00:00:00+00:00,109.4399359134,45.3765367699,93.7891190912,58.6845776619,80.1,49.2915761084,36.8748946563,47.7797742221,32.7475827459
2007-12-24 00:00:00+00:00,110.2526203155,45.7178453396,94.4663220503,58.409303653,80.14,49.4882154732,37.4906264753,47.8053531732,33.808360763
